Word,Count
bakal,10
selain,10
opsi,10
lu,10
semula,10
install,10
isi,10
ttp,10
ribet,10
mencoba,10
samsung,10
sehingga,10
selesai,10
dikirim,10
ajukan,10
lg,10
hasilnya,10
yah,10
memiliki,10
agak,10
ngirim,10
kehapus,10
solusinya,10
tahu,10
jujur,10
live,10
baguss,10
followers,10
komunitas,10
gmn,10
pengen,9
scroll,9
ko,9
nyaa,9
pilih,9
nyari,9
dimana,9
penuh,9
jga,9
keluhan,9
rekam,9
stabil,9
freeze,9
pribadi,9
item,9
pecah,9
sekian,9
gatau,9
giliran,9
bantu,9
masalahnya,9
mati,9
harusnya,9
x,9
sayang,9
normal,9
hingga,9
fix,9
mendapatkan,9
sebaiknya,9
slide,9
memperbaiki,9
suspend,9
jarang,9
blur,9
draf,9
gagal,9
status,9
terupdate,9
walaupun,9
tolonglah,9
blokir,9
detik,8
durasi,8
baca,8
profile,8
mereka,8
diri,8
penyimpanan,8
background,8
diposting,8
wajah,8
memulihkan,8
memuat,8
call,8
penggunaan,8
instastory,8
diakun,8
app,8
lagii,8
bukannya,8
kemudian,8
tersimpan,8
tag,8
rusak,8
krn,8
terkirim,8
akunku,8
paket,8
wa,8
arsipnya,8
meng,8
memberi,8
ikuti,8
nah,8
besar,8
kapan,8
krna,8
follower,8
dinonaktifkan,8
second,8
solusi,8
tu,8
disana,8
lelet,8
pemberitahuan,8
ngapa,8
para,8
dipake,8
username,8
amat,8
disitu,8
a,8
ngepost,8
info,7
misal,7
merugikan,7
laporkan,7
telat,7
mengajukan,7
sound,7
bakalan,7
segala,7
sampah,7
berhenti,7
menurun,7
terlihat,7
acc,7
and,7
masi,7
pokoknya,7
memudahkan,7
barunya,7
postingannya,7
icon,7
peminat,7
cm,7
hrs,7
bbrp,7
serta,7
minimal,7
dicoba,7
ujung,7
terkait,7
no,7
privasi,7
yaaa,7
terhapus,7
mengecewakan,7
males,7
keterangan,7
caranya,7
meresahkan,7
k,7
kaga,7
mempertahankan,7
membagikannya,7
mah,7
kejadian,7
diganti,7
keren,7
uninstal,7
lite,7
kedepannya,7
memberikan,7
logout,7
gelap,7
kenyamanan,7
tertentu,7
dibuat,7
handphone,7
mengupload,7
kiri,7
apakah,7
pdahal,7
sedih,7
semenjak,7
kekirim,7
permasalahan,7
asal,7
gara,7
cmn,7
muka,7
reset,7
intagram,7
kah,7
dihilangin,7
sm,7
seseorang,6
sini,6
loadingnya,6
tombol,6
threads,6
aktivitas,6
mengenai,6
mengambil,6
macet,6
pikir,6
tim,6
langkah,6
dibantu,6
kekurangan,6
seminggu,6
nyimpan,6
siapa,6
mode,6
halaman,6
buang,6
kecil,6
overall,6
yaitu,6
gtu,6
cache,6
save,6
tambahan,6
kolom,6
pencarian,6
menyukai,6
